Time resolution is 1 ps
---- EKF SOC Simulation Started ----
Time=1545000 | SOC=82.25 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1555000 | SOC=82.27 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1565000 | SOC=82.28 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1575000 | SOC=82.30 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1585000 | SOC=82.31 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1595000 | SOC=82.33 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1605000 | SOC=82.34 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1615000 | SOC=82.36 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1625000 | SOC=82.38 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1635000 | SOC=82.39 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1645000 | SOC=82.41 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1655000 | SOC=82.42 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1665000 | SOC=82.44 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1675000 | SOC=82.45 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1685000 | SOC=82.47 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1695000 | SOC=82.48 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1705000 | SOC=82.50 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1715000 | SOC=82.52 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1725000 | SOC=82.53 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1735000 | SOC=82.55 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1745000 | SOC=82.56 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1755000 | SOC=82.58 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1765000 | SOC=82.59 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1775000 | SOC=82.61 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1785000 | SOC=82.62 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
